name,url,sector,status,http_code,total_entries,newest_article_date,days_since_last,note
JMLR,https://www.jmlr.org/jmlr.xml,ai-dev,STALE,200,50,2026-01-01,79,Last article 79 days ago
Lightning AI,https://lightning.ai/pages/feed/,ai-dev,STALE,200,10,2023-12-07,835,Last article 835 days ago
MetaDevo AI Blog,https://metadevo.com/feed/,ai-dev,STALE,200,10,2025-10-22,150,Last article 150 days ago
Paperspace Blog,https://blog.paperspace.com/rss/,ai-dev,STALE,200,15,2024-08-21,576,Last article 576 days ago
SemiAnalysis,https://www.semianalysis.com/feed,ai-dev,STALE,200,10,2025-09-16,185,Last article 185 days ago
Stanford CRFM,https://crfm.stanford.edu/feed,ai-dev,STALE,200,10,2025-12-18,93,Last article 93 days ago
The TensorFlow Blog,https://blog.tensorflow.org/feeds/posts/default?alt=rss,ai-dev,STALE,200,25,2025-08-19,214,Last article 214 days ago
Weights & Biases: Fully Connected,https://wandb.ai/fully-connected/rss.xml,ai-dev,STALE,200,89,2023-12-07,834,Last article 834 days ago
arXiv cs.LG (ML),https://arxiv.org/rss/cs.LG,ai-dev,DEAD,200,0,,,Empty feed (0 entries)
arXiv stat.ML,https://arxiv.org/rss/stat.ML,ai-dev,DEAD,200,0,,,Empty feed (0 entries)
Blog Content – TOGETHER,https://www.together.xyz/blog?format=rss,ai-dev,DEAD,200,0,,,Parse error: <unknown>:2:1837: not well-formed (invalid token)
Blog – neptune.ai,https://neptune.ai/blog/feed,ai-dev,DEAD,403,0,,,HTTP 403
Context by Cohere,https://txt.cohere.ai/rss/,ai-dev,DEAD,200,0,,,Parse error: text/html; charset=utf-8 is not an XML media type
cs.CV updates on arXiv.org,https://arxiv.org/rss/cs.CV,ai-dev,DEAD,200,0,,,Empty feed (0 entries)
InfoWorld Machine Learning,https://www.infoworld.com/category/machine-learning/index.rss,ai-dev,DEAD,200,0,,,Parse error: <unknown>:36:0: undefined entity
Mila,https://mila.quebec/en/feed/,ai-dev,DEAD,200,0,,,Parse error: <unknown>:70:76: not well-formed (invalid token)
Theodo Data & AI Blog,https://data-ai.theodo.com/en/technical-blog/rss.xml,ai-dev,DEAD,200,0,,,Parse error: <unknown>:2:2294: not well-formed (invalid token)
Dark Reading,https://www.darkreading.com/rss.xml,security,ACTIVE,200,50,2026-03-20,0,
Hacker Noon – AI,https://hackernoon.com/tagged/ai/feed,security,ACTIVE,200,50,2026-03-21,0,
Infosecurity Magazine,https://www.infosecurity-magazine.com/rss/news/,security,ACTIVE,200,250,2026-03-20,1,
Krebs on Security,https://krebsonsecurity.com/feed/,security,ACTIVE,200,10,2026-03-20,1,
Microsoft Security,https://api.msrc.microsoft.com/update-guide/rss,security,ACTIVE,200,3108,2026-03-21,0,
Palo Alto Unit 42,https://unit42.paloaltonetworks.com/feed/,security,ACTIVE,200,15,2026-03-20,0,
The Hacker News,https://feeds.feedburner.com/TheHackersNews,security,ACTIVE,200,50,2026-03-21,0,
The Verge Security,https://www.theverge.com/rss/cyber-security/index.xml,security,ACTIVE,200,10,2026-03-18,2,
Threatpost,https://threatpost.com/feed/,security,STALE,200,10,2022-08-31,1298,Last article 1298 days ago
Dark Reading,https://www.darkreading.com/rss_simple.asp,security,DEAD,403,0,,,HTTP 403
